12;Identificación;Código de ocupación (toda la población);4;N;"Ver tabla de referencia SGDCIUO publicada en web.sispro.gov.co, donde se encuentran los valores permitidos, de acuerdo a la Clasificación Internacional Uniforme de Ocupaciones (CIUO) en su última versión vigente.

· En los casos en que no se tiene esta información
  registrar (9999).
· En el caso que no aplique registrar (9998).";Registre la opción 9998 (No Aplica) en caso de tener una ocupación que no hace parte del CIUO. Ejemplo: ama de casa, dedicación al hogar,  menor de edad, estudiante.;;;;;
13;Identificación;Código de nivel educativo (toda la población);2;N;Ver tabla de referencia SGDNivEducativo en web.sispro.gov.com, donde se encuentran los valores permitidos.;"Registre siempre la educación culminada.

La opción ""Ninguno"" se registra cuando se desconoce la respuesta o la persona reportada es analfabeta.";;;;;
14;Gestación;Gestante;2;N;"0 -No aplica
1 -Sí
2 -No
21-Riesgo no evaluado";"La opción 0 se usa cuando reporta población de sexo masculino o población de sexo femenino con edad menor de 10 años o mayor o igual de 60 años.

La opción 21 se usa cuando no se indaga, ni se tiene información con respecto a la identificación de este riesgo.";Validar que si la variable 14 = 1 ó 2 ó 21, la variable 10 debe registrar F;Error030;Si registra 1, 2 ó 21 en la variable Gestante, el sexo debe ser F;Variables 10, 14;
;;;;N;;;Generar error si la edad calculada < 10 años ó >=60 años Y la variable 14 <> 0 ;Error222;Si la edad es menor de 10 años o mayor o igual de 60 años, Gestación No aplica;Variables 14, Edad calculada;
;;;;N;;;Generar error cuando la variable 14 = 0 Y la variable 10 = F Y edad calculada >=10 años y <60 años;Error223;Si el sexo es Femenino y la edad está entre 10 años hasta 59 años, debe registrar un valor diferente de 0-no aplica en Gestante.;Variable 10, 14, Edad calculada;
;;;;N;;;Generar error si variable 14 <> 1 Y (variable 23 ó 35 ó 59 ó 60 ó 61 <> 0 ó variable 33 ó 56 ó 58 <> 1845-01-01);Error244;"Si no es gestante, las variables relacionadas con la gestación deben registrar el valor equivalente a ""No aplica""";Variables 14, 23, 33, 35, 56, 58, 59, 60, 61;
;;;;N;;;Generar error si variable 14 = 1 Y (variable 23 ó 35 ó 59 ó 60 ó 61 = 0 ó variable 33 ó 56 ó 58 = 1845-01-01);Error379;"Si es gestante, las variables relacionadas con la gestación deben registrar un dato diferente a ""No aplica""";Variables 14, 23, 33, 35, 56, 58, 59, 60, 61;
15;No aplica para el reporte;Sífilis Gestacional o congénita;2;N;0-No aplica;Se debe registrar la opción 0 a todas las personas reportadas;Generar error si la variable 15 <> 0;Error500;Error en valores permitidos -Sífilis Gestacional o congénita;Variable 15;
16;Test vejez (>=60 años);Resultado de prueba mini-mental state;2;N;"0 -No aplica
4 -Sospecha de deterioro cognoscitivo
5 -Normal
21-Riesgo no evaluado";"La opción 0 se usa en población menor de 60 años.

La opción 21 se usa cuando reporta población mayor o igual a 60 años, pero:
-No está reportando una fecha de valoración integral (variable 52).
-No se realizó o no se tiene información con respecto a la aplicación del test.";Generar error cuando la variable 16 = (4 ó 5) y la variable 52 < 1900-01-01;Error503;Si registra Resultado prueba mini-mental state, debe registrar una Fecha de consulta de valoración integral válida;Variables 16, 52;
;;;;;;;Generar error si la variable 16 <> 0, 4, 5 ó 21;Error504;Error en valores permitidos -Resultado del test minimental state;Variable 16;
;;;;;;;Generar error cuando (la variable 16 = 4 ó 5 ó 21 Y la edad calculada < 60 años) O (la variable 16 = 0 Y la edad calculada >= 60 años);Error227;El valor del Resultado prueba mini-mental state registrado no es acorde al rango de edad ;Variable 16, Edad calculada;
17;No aplica para el reporte;Hipotiroidismo Congénito;2;N;0-No aplica;Se debe registrar la opción 0 a todas las personas reportadas;Generar error si la variable 17 <> 0;Error505;Error en valores permitidos - Hipotiroidismo Congénito;Variable 17;
18;Tuberculosis;Sintomático respiratorio (toda la población);2;N;"1 -Sí
2 -No
21-Riesgo no evaluado";La opción 21 se usa cuando no se indaga, ni se tiene información con respecto a la identificación de este riesgo.;Generar el error cuando la variable 18 = 1 Y (la variable 113 = 4 ó la variable 112 =1845-01-01).;Error232;Si es sintomático respiratorio, el resultado de baciloscopia diagnóstica debe ser diferente a 4 y registrar fecha válida o comodín de no realización;Variables 18, 112, 113;
;;;;;;;Generar error si la variable 18 = 2 Y (la variable 113  <> 4 ó la variable 112 <> 1845-01-01;Error506;Si no es Sintomático respiratorio, registre no en el  Resultado de baciloscopia de diagnóstico y registre no aplica en la Fecha de toma;Variables 18, 112, 113;
;;;;;;;Generar error si la variable 18 = 21 Y (la variable 113  <> 21 ó la variable 112 <> 1800-01-01;Error507;Riesgo no evaluado en Sintomático respiratorio, registre riesgo no evaluado en resultado baciloscopia y sin dato en fecha baciloscopia;Variables 18, 112, 113;
19;Riesgo cardiovascular y metabólico;Consumo de tabaco;2;N;"Reporte el resultado del Índice de paquetes año (IPA) en número entero entre 0 y 95.
96-Si el resultado del IPA es 96 o mayor
97-Exfumador
98-No aplica
99-Riesgo no evaluado";"Si el resultado del índice contiene decimales, redondee a la unidad correspondiente y reporte un número entero.

La opción 98 se usa para personas reportadas que nunca han fumado o menores de 12 años de edad.

La opción 99 se usa en las personas reportadas a las que no se indagó el riesgo de consumo de tabaco, o para las que siendo fumadoras no se aplicó el IPA.";Generar error si la edad calculada < 12 años Y la variable 19 <>98;Error508;Si la edad es menor a 12 años, el registro de Consumo de tabaco no aplica.;Variable 19, Edad calculada;
20;No aplica para el reporte;Lepra;2;N;21-Riesgo no evaluado;Se debe registrar la opción 21 a todas las personas reportadas;Generar error si la variable 20 <> 21;Error509;Error en valores permitidos -Lepra;Variable 20;
21;No aplica para el reporte;Obesidad o Desnutrición Proteico Calórica;2;N;21-Riesgo no evaluado;Se debe registrar la opción 21 a todas las personas reportadas;Generar error si la variable 21 <> 21;Error510;Error en valores permitidos -Obesidad o Desnutrición Proteico Calórica;Variables 21;
22;;Resultado del tacto rectal;2;N;"0 -No aplica
4 -Próstata anormal
5 -Próstata normal
21-Riesgo no evaluado";"La opción 0 se usa cuando reporta población no sujeto de la actividad: sexo femenino, hombres menores de 40 años y hombres entre 40 y 49 años sin factores de riesgo.

La opción 21 se usa cuando reporta población sujeto a los que no se realizó el tamizaje o cuando se sabe de la realización, pero se desconce la fecha.
Próstata anormal"" y por la variable: ""Antígeno Prostático Especifico (PSA)"", cuyos valores sean superiores a: 
Hombres de 40 a 49 años: 2,5 ng/mL
Hombres de 50 a 59 años: 3,5 ng/mL
Hombres de 60 a 69 años: 4,5 ng/mL
Hombres de 70 a 79 años: 6,5 ng/mL ";Generar error si la variable 22 = (4 ó 5 ó 21) Y la variable 10 <> M. ;Error037;Si registra 4, 5 o 21 en Resultado del tacto rectal, el sexo debe ser M;Variables 10, 22;
;;;;;;;Generar error si la edad calculada < 40 años Y la variable 10 = M Y (la variable 22 <> 0  ó la variable 64 <> 1845-01-01).;Error038;Si es hombre menor de 40 años, debe registrar  no aplica en el resultado y la fecha del tacto rectal;Variables 10, 22, 64 Edad calculada;
;;;;;;;Generar error si la variable 64 >1900-01-01 Y (la variable 22 <> 4, ó la variable 22 <> 5, ó la variable 10  <> M, ó la edad calculada < 40 años);Error237;Si registra fecha del tacto rectal, debe registrar el resultado del tacto rectal, el sexo debe ser M y la edad mayor o igual a 40 años;Variables 10, 22, 64 Edad calculada;
;;;;;;;Generar error si la variable 22 = 21 Y (la variable 64 <> 1800-01-01 ó 1805-01-01 ó 1810-01-01 ó 1825-01-01 ó 1830-01-01 ó 1835-01-01.;Error512;Si Resultado de tacto rectal es riesgo no evaluado, en la fecha debe registrar alguno de los comodines que indican no realización o sin dato;Variables 22, 64;
;;;;;;;Generar error si la variable 10 = F Y (la variable 22 <> 0, ó la variable 64 <> 1845-01-01);Error513;Si es sexo F, debe registrar no aplica en la fecha y el resultado de tacto rectal;Variables 22, 64;
;;;;;;;Generar error si la variable 22 registra valor <> 0, 4, 5 ó 21;Error514;Error en valores permitidos - Resultado tacto rectal;Variables 22;
23;Gestación;Acido fólico preconcepcional;2;N;"0 -No aplica
1 -Sí
2 -No
21-Registro no evaluado";"La opción 0 se usa en población NO gestante y sexo masculino (cuando la variable 14 registra 0, 2 o 21)

La opción 1 se usa cuando hubo suministro efectivo de ácido fólico o se suministraron multivitamínicos NO POS.

La opción 21 se usa cuando es gestante, pero se desconoce el suministro.";Generar error si la variable 23 registra valor <> 0, 1, 2, 21;Error515;Error en valores permitidos - Acido fólico preconcepcional;Variable 23;
24;Ca de colon;Resultado de la prueba de sangre oculta en materia fecal (tamizaje Ca de colon);2;N;"0 -No aplica
4 -Positivo
5 -Negativo
6 -No es posible determinar el resultado
21-Riesgo no evaluado 
";"Registre fecha del test realizado a población a partir de los 50 hasta los 75 años. Registro opcional para el resto de la población.

La opción 21 se usa cuando no se indaga o no se tiene información con respecto a la realización del test o cuando se sabe que se realizó, pero se desconoce la fecha.

La opción 0 se usa en personas reportadas que no son sujeto de la actividad.";Generar error si la variable 67 > 1900-01-01 Y la variable 24  <>  (4, 5 ó 6);Error516;Si registró Fecha de la prueba sangre oculta en materia fecal válida, debe registrar Resultado de la prueba sangre oculta en materia fecal;Variables 24, 67;
;;;;;;;Generar error si la variable 67 = 1800-01-01, 1805-01-01,  1810-01-01, 1825-01-01, 1830-01-01 ó 1835-01-01 Y (edad calculada < 50 años ó edad calculada > 76 años ó variable 24 <> 21);Error517;Si registró comodín de no realización o sin dato en Fecha prueba sangre oculta en materia fecal, la edad debe ser entre 50-75 y el Resultado debe ser 21;Variables 24, 67, Edad calculada;
;;;;;;;Generar error si la variable 67 = 1845-01-01 Y ( la variable 24 <> 0, ó la edad calculada se encuentra entre los 50 a 75 años);Error518;Registre no aplica en Fecha de prueba sangre oculta en materia fecal, a los menores de 50 años ó mayores de 75 años sin riesgo identificado;Variables 24, 67, Edad calculada;
;;;;;;;Generar error si la variable 24 registra valor <> 0, 4, 5, 6 ó 21;Error519;Error en valores permitidos - Resultado test de sangre oculta en materia fecal;Variable 24;
25;No aplica para el reporte;Enfermedad Mental;2;N;21-Riesgo no evaluado;Se debe registrar la opción 21 a todas las personas reportadas;Generar error si la variable 25 <> 21;Error520;Error en valores permitidos -Enfermedad mental;Variable 25;
26;No aplica para el reporte;Cáncer de Cérvix;2;N;0-No aplica;Se debe registrar la opción 0 a todas las personas reportadas;Generar error si la variable 26 <> 0;Error521;Error en valores permitidos -Cáncer de Cérvix;Variables 26;
27;Agudeza visual;Agudeza visual lejana ojo izquierdo ;2;N;"0 -No aplica
3 -Menor o igual a 20/20 normal 
4 -Entre 20/25 y 20/40
5 -Mayor o igual de 20/50 hasta 1200 anormal
6 -Cuenta dedos 
7 -Percepción de bultos 
8 -Proyección y percepción de luz 
9 -No percibe luz
21-Riesgo no evaluado";"La opción 0 se usa en personas reportadas que no son objeto de la actividad.

La opción 21 se usa cuando no se indaga ni se tiene información con respecto a la identificación de este riesgo ó se usa cuando se sabe del resultado de la prueba pero se desconoce la fecha.";Generar error si la variable 27 = (3, ó 4, ó 5, ó 6, ó 7, ó 8 ó 9), Y la variable 62 <= 1900-01-01;Error524;Si registra Agudeza visual lejana ojo izquierdo, debe registrar Fecha de agudeza visual válida;Variable 27;
;;;;;;;Generar error si la variable 62 = (1800-01-01, 1805-01-01, 1810-01-01, 1825-01-01, 1830-01-01 ó 1835-01-01) Y la variable 27 <> 21;Error525;Si registró un comodín que indica no realización o sin dato en Fecha de agudeza visual, registre 21 en Agudeza visual lejana ojo izquierdo;Variables 27, 62;
;;;;;;;Generar error si la edad calculada < 3 años Y (la variable 27 <> 0 ó la variable 62 <> 1845-01-01;Error526;Si es menor a 3 años, debe registrar no aplica en las variables de agudeza visual lejana ojo izquierdo y fecha de agudeza visual;Variables 27, 62, Edad calculada;
;;;;;;;Generar error si la variable 27 registra valor <> 0, 3, 4, 5, 6, 7, 8, 9, 21;Error527;Error en valores permitidos - Agudeza visual lejana ojo izquierdo ;Variable 27;
28;Agudeza visual;Agudeza visual lejana ojo derecho ;2;N;"0 -No aplica
3 -Menor o igual a 20/20 normal 
4 -Entre 20/25 y 20/40
5 -Mayor o igual de 20/50 hasta 1200 anormal
6 -Cuenta dedos 
7 -Percepción de bultos 
8 -Proyección y percepción de luz 
9 -No percibe luz
21-Riesgo no evaluado";"La opción 0 se usa en personas reportadas que no son objeto de la actividad.

La opción 21 se usa cuando no se indaga ni se tiene información con respecto a la identificación de este riesgo.";Generar error si variable 28 = (3 ó 4 ó 5 ó 6 ó 7 ó 8 ó 9) Y la variable 62 <= 1900-01-01;Error528;Si registra Agudeza visual lejana ojo derecho, debe registrar Fecha de agudeza visual válida;Variable 28;
;;;;;;;Generar error si la variable 62 = (1800-01-01, ó 1805-01-01, ó 1810-01-01, ó 1825-01-01, ó 1830-01-01 ó 1835-01-01) Y la variable 28 <> 21;Error529;Si registró un comodín que indica no realización o sin dato en Fecha de agudeza visual, registre 21 en Agudeza visual lejana ojo derecho;Variables 28, 62;
;;;;;;;Generar error si la edad calculada < 3 años Y ( variable 28  <> 0 ó la variable 62 <> 1845-01-01);Error530;Si es menor a 3 años, debe registrar no aplica en las variables de agudeza visual lejana ojo derecho y fecha de agudeza visual;Variables 28, 62, Edad calculada;
;;;;;;;Generar error si la variable 28 registra valor <> 0, 3, 4, 5, 6, 7, 8, 9, 21;Error531;Error en valores permitidos - Agudeza visual lejana ojo derecho ;Variable 28;
29;Toda la población;"Fecha del peso 
(Toda la población)";10;F;"AAAA-MM-DD
Si no se toma registrar la opción 1800-01-01";"Se debe registrar la fecha de toma del peso más cercana a la fecha de corte del reporte (Última toma). 
Se espera el registro de una fecha válida en este campo, teniendo en cuenta que si reporta una actividad, debió tomar el peso de la persona.";Gerenar error cuando variable 29 > Fecha de corte;Error121;Fecha peso es mayor a la fecha de corte;Variable 29, Fecha corte;
;;;;;;;Validar que si la fecha registrada en la variable 29  <> 1800-01-01, esa fecha debe ser mayor a la fecha registrada en la variable 9;Error171;Fecha peso es menor a la fecha de nacimiento;Variables 9, 29;
;;;;;;;Validar comodines: de manera excepcional en esta variable se genera warning si se registró el comodín 1800-01-01.;Warning674;Verifique el comodín 1800-01-01, registre una fecha válida.;Variable 29;
;;;;;;;Validar contenido de fecha en la variable 29;Error422;contenido en el campo FechaPeso  no válido;Variable 29;
;;;;;;;Validar comodines: de manera excepcional en esta variable solo se permite el registro del comodín 1800-01-01. Los demás comodines no son válidos;Error381;No se permite el registro de estos comodines en Fecha peso;Variable 29;
30;Toda la población;"Peso en Kilogramos 
(Toda la población)";5;N;"Se registra el dato obtenido de la medición.
Si no se toma registrar 999";"Registrar el dato más cercano a la fecha de corte del reporte (Ultima toma).
La longitud máxima es 5 para permitir el registro de decimales. Debe usar el punto (.) como separador de decimal.";Validar que si la variable 30 registra 999, la variable 29 debe registrar 1800-01-01;Error041;Si no registra el peso de la persona no debe registrar fecha de medición;Variables 29, 30;
;;;;;;;Si La edad Calculada entre la f.nacimiento v9 y fecha de peso v29, es menor 2 años y la variable 30 es menor a 1 o mayor a 15;Error680;El peso de los niños menores de 2 años debe ser mayor o igual a 1 kg y menor o igual a 15 kg;;*
;;;;;;;Si La edad Calculada entre la f.nacimiento v9 y fecha de peso v29, es mayor o igual a 2 años y menor de 5 años y la variable 30 es menor a 3 y mayor a 25;Error681;El peso de los niños de 2 a 4 años debe ser mayor o igual a 3 kg y menor o igual a 25 kg;;*
;;;;;;;Si La edad Calculada entre la f.nacimiento v9 y fecha de peso v29, es mayor o igual a 5 años y menor de 13 años y la variable 30 es menor a 9 y mayor a 80;Error682;El peso de los niños de 5 a 12 años debe ser mayor o igual a 9 kg y menor o igual a 80 kg;;*
;;;;;;;Si La edad Calculada entre la f.nacimiento v9 y fecha de peso v29, es mayor o igual a 13 años y menor de 18 años y la variable 30 es menor a 30 y mayor a 80;Error683;El peso de los adolescentes de 13 a 17 años debe ser mayor o igual a 30 kg y menor o igual a 80 kg;;*
;;;;;;;Si La edad Calculada entre la f.nacimiento v9 y fecha de peso v29, es mayor o igual a 18 años y la variable 30 es menor a 35 y mayor a 250;Error684;El peso de los adyltos matores de 18 años debe ser mayor o igual a 36 kg y menor o igual a 250 kg;;*
31;Toda la población;"Fecha de la talla 
(Toda la población)";10;F;"AAAA-MM-DD
Si no se toma registrar la opción 1800-01-01";"Se debe registrar la fecha de toma  de talla más cercana a la fecha de corte del reporte (Última toma).
Se espera el registro de una fecha válida en este campo, teniendo en cuenta que si reporta una actividad, debió tomar la talla de la persona";La fecha registrada en la variable 31 debe ser menor o igual a la fecha de corte del reporte;Error122;Fecha talla es mayor a la fecha de corte;Variable 31, Fecha corte;
;;;1;N;;;Validar que si la fecha registrada en la variable 31  <> 1800-01-01, esa fecha debe ser mayor a la fecha registrada en la variable 9;Error172;Fecha talla es menor a la fecha de nacimiento;Variables 9, 31;
;;;;;;;Validar comodines: de manera excepcional en esta variable se genera warning si se registró el comodín 1800-01-01.;Warning675;Verifique el comodín 1800-01-01, registre una fecha válida.;Variable 31;
;;;;;;;Validar contenido de fecha en la variable 31;Error423;contenido en el campo FechaTalla  no válido;Variable 31;
;;;;;;;Validar comodines: de manera excepcional en esta variable solo se permite el registro del comodín 1800-01-01. Los demás comodines no son válidos;Error382;No se permite el registro de estos comodines en Fecha de la talla;Variable 31;
32;Toda la población;"Talla en centímetros 
(Toda la población)";3;N;"Se registra el dato obtenido de la medición.
Si no se toma registrar 999";"Registrar el dato más cercano a la fecha de corte del reporte (Ultima toma).
La longitud máxima es 3 porque solo se permiten números enteros.";Validar que si la variable 32 registra 999, la variable 31 debe registrar 1800-01-01;Error043;Si no registra la talla de la persona no debe registrar fecha de medición;Variables 31, 32;
;;;;;;;Si La edad Calculada entre la f.nacimiento v9 y fecha de talla v31, es menor 2 años y la variable 32 es menor a 40 o mayor a 100;Error685;La talla de los niños menores de 2 años debe ser mayor o igual a 40 cm y menor o igual a 100 cm;;
;;;;;;;Si La edad Calculada entre la f.nacimiento v9 y fecha de talla v31, es mayor o igual a 2 años y menor de 5 años y la variable 32 es menor a 70 o mayor a 110;Error686;La talla de los niños de 2 a 4 años debe ser mayor o igual a 70 cm y menor o igual a 110 cm;;
;;;;;;;Si La edad Calculada entre la f.nacimiento v9 y fecha de talla v31, es mayor o igual a 5 años y menor de 13 años y la variable 32 es menor a 80 o mayor a 225;Error687;La talla de los niños de 5 a 12 años debe ser mayor o igual a 80 cm y menor o igual a 225 cm;;
;;;;;;;Si La edad Calculada entre la f.nacimiento v9 y fecha de talla v31, es mayor o igual a 13 años y menor de 18 años y la variable 32 es menor a 130 o mayor a 225;Error688;La talla de los adolescentes de 13 a 17 años debe ser mayor o igual a 130 cm y menor o igual a 225 cm;;
;;;;N;;;Si La edad Calculada entre la f.nacimiento v9 y fecha de talla v31, es mayor o igual a 18 años  y la variable 32 es menor a 130 o mayor a 225;Error689;La talla de los adultos mayores a 18 años debe ser mayor o igual a 130 cm y menor o igual a 225 cm;;
33;Gestación;Fecha probable de parto;10;F;"AAAA-MM-DD
·Si no se tiene el dato registrar 1800-01-01 
·Si no aplica registrar 1845-01-01";"La opción 1845-01-01 se usa en población NO gestante (cuando la variable 14 registra 0, 2 o 21) y en poblacion de sexo masculino.

Nota: si reporta una gestante con pérdida del producto, antes de la semana 20 (aborto), registre 1845-01-01.";La fecha registrada en la variable 33 debe ser mayor a la fecha registrada en la variable 9;Error170;Fecha probable parto es menor a la fecha de nacimiento;Variables 9, 33;
;;;1;N;;;La fecha registrada en la variable 33 debe ser <= fecha de corte + 280 días;Error242;Si registra fecha probable de parto no debe ser mayor a la fecha de corte más 280 días;Variable 33, Fecha de corte;
;;;1;N;;;Generar error si la variable 33  > 1900-01-01 Y la variable 56 > 1900-01-01 Y la variable 33 <= a la variable 56.;Error243;Fecha probable de parto es menor o igual a fecha de primera consulta prenatal;Variable 33, 56;
;;;;;;;Validar contenido de fecha en variable 33;Error424;contenido en el campo FechaProbableParto no válido;Variable 33;
;;;1;N;;;Validar comodines: en esta variable de manera excepcional solo se permite registrar comodines 1800-01-01 y 1845-01-01.;Error380;Comodín inválido - Fecha probable parto;Variable 33;
34;Identificación;Código país;3;N;"Ver tabla de referencia PAIS1 publicada en web.sispro.gov.co, donde se encuentran los valores permitidos, de acuerdo a la norma internacional ISO3166-1. 
Registre el código numérico.
Registre 999 para aquellas personas a las cuales no se les conoce la nacionalidad,sin embargo, es importante que la entidad inicie los respectivos procesos para ajustar sus sistemas de información y poder realizar la recolección del dato";"Registre el código numérico del país de procedencia del extranjero, de acuerdo a la norma internacional ISO3166-1.

-Registre 170 cuando el usuario reportado es un colombiano identificado con tipo y número de identificación válido para nacionales colombianos o para colombianos con tipo de identificación MS, AS, CN.";Generar error si la variable 34 = 170 Y la variable 3 = (CE, PA, CD, PE, SC ó DE);Error532;El código país no es coherente con el tipo de identificación;Variables 3, 34;
35;Gestación;Clasificación del riesgo gestacional;2;N;"0 -No aplica
4 -Alto riesgo
5 -Bajo riesgo
21-Riesgo no evaluado";"Registre la clasificación de riesgo biopsicosocial, como está descrito en la normatividad vigente:
- La opción 0 se usa en población NO gestante y sexo masculino (cuando la variable 14 registra 0, 2 o 21).
-La opción 21 se usa cuando es gestante, pero no se le ha clasificado el riesgo.
";Generar error si la variable 35 registra valor <> 0, 4, 5 ó 21;Error533;Error en valores permitidos - Clasificación del riesgo gestacional;Variable 35;
;;;;;;;Generar error si la variable 35 = (4 ó 5) Y la variable 56 < 1900-01-01 Y la variable 58 < 1900-01-01 ;Error534;Si registró clasificación de riesgo gestac., registre una fecha válida en la primera consulta prenatal o en el último control prenatal de seguimiento;Variables 35, 56, 58;
36;Ca de colon;Resultado de colonoscopia tamizaje;2;N;"0 -No aplica
2 -Hallazgos compatibles con pólipos hiperplásicos
3 -Hallazgos sugestivos de proceso preneoplásico
4 -Hallazgos sugestivos de proceso neoplásico
5 -Colonoscopia normal
6 -Otros hallazgos
21-Riesgo no evaluado";"Registre el resultado del tamizaje realizado a población a partir de los 50 hasta los 75 años. Registro opcional para el resto de la población.

La opción 21 se usa cuando no se indaga o no se tiene información con respecto a la realización del test o cuando se sabe que se realizó, pero se desconoce la fecha.

La opción 0 se usa en personas reportadas que no son sujeto de la actividad.";Generar error si la variable 66 > 1900-01-01 Y la variable 36 = (0 ó 21);Error535;Si registra Fecha de colonoscopia válida, registre el resultado de colonoscopia de tamizaje;Variables 36, 66;
;;;;;;;Generar error si la variable 66 = (1800-01-01, ó 1805-01-01 ó  1810-01-01 ó 1825-01-01 ó 1830-01-01 ó 1835-01-01) Y ((la edad calculada < 50 ó la edad calculada > 75 años) ó la variable 36 <> 21);Error536;Si registró comodín de no realización o sin dato en Fecha de colonoscopia, la edad debe estar entre 50 y 75 y resultado de colonoscopia debe ser 21;Variables 36, 66, Edad calculada;
;;;;;;;Generar error si la variable 66 = 1845-01-01 Y ( la variable 36 <> 0 ó la edad calculada se encuentra en el rango entre 50 hasta 75 años);Error537;Si registró comodín de no aplica en Fecha de colonoscopia, el resultado de colonoscopia debe ser 0 y la edad debe ser <= 50 ó > 75 años ;Variables 36, 66, Edad calculada;
;;;;;;;Generar error si la variable 36 registra valor <> 0, 2, 3, 4, 5, 6 ó 21;Error538;Error en valores permitidos - Resultado colonoscopia de tamizaje;Variable 36;
